ID,Name,Address,Latitude,Longitude,Hostel Type,Room Type,Price per Month,Available Units,Amenities,Other Offerings,Image URLs
1,"45 Rockefeller Plaza, New York, NY 10111, USA","45 Rockefeller Plaza, New York, NY 10111, USA",40.759976,-73.979977,Boys,Single,14582,4,"AC Rooms, 24/7 Security, Mess, WiFi, Parking","Daily Housekeeping, Hot Water",https://picsum.photos/300/300; https://picsum.photos/300/300; https://picsum.photos/300/300
1,"45 Rockefeller Plaza, New York, NY 10111, USA","45 Rockefeller Plaza, New York, NY 10111, USA",40.759976,-73.979977,Boys,Double,7643,3,"AC Rooms, 24/7 Security, Mess, WiFi, Parking","Daily Housekeeping, Hot Water",https://picsum.photos/300/300; https://picsum.photos/300/300; https://picsum.photos/300/300
1,"45 Rockefeller Plaza, New York, NY 10111, USA","45 Rockefeller Plaza, New York, NY 10111, USA",40.759976,-73.979977,Boys,Triple,7242,6,"AC Rooms, 24/7 Security, Mess, WiFi, Parking","Daily Housekeeping, Hot Water",https://picsum.photos/300/300; https://picsum.photos/300/300; https://picsum.photos/300/300
1,"45 Rockefeller Plaza, New York, NY 10111, USA","45 Rockefeller Plaza, New York, NY 10111, USA",40.759976,-73.979977,Boys,Dormitory,5513,9,"AC Rooms, 24/7 Security, Mess, WiFi, Parking","Daily Housekeeping, Hot Water",https://picsum.photos/300/300; https://picsum.photos/300/300; https://picsum.photos/300/300
2,"233 Broadway, New York, NY 10279, USA","233 Broadway, New York, NY 10279, USA",40.712776,-74.008975,Co-ed,Single,13135,2,"Power Backup, 24/7 Security, CCTV Security, AC Rooms, WiFi, Gym, Study Area, Laundry, Mess, Non-AC Rooms","Daily Housekeeping, Study Table & Chair",https://picsum.photos/300/300; https://picsum.photos/300/300; https://picsum.photos/300/300
2,"233 Broadway, New York, NY 10279, USA","233 Broadway, New York, NY 10279, USA",40.712776,-74.008975,Co-ed,Double,5586,7,"Power Backup, 24/7 Security, CCTV Security, AC Rooms, WiFi, Gym, Study Area, Laundry, Mess, Non-AC Rooms","Daily Housekeeping, Study Table & Chair",https://picsum.photos/300/300; https://picsum.photos/300/300; https://picsum.photos/300/300
2,"233 Broadway, New York, NY 10279, USA","233 Broadway, New York, NY 10279, USA",40.712776,-74.008975,Co-ed,Triple,6961,5,"Power Backup, 24/7 Security, CCTV Security, AC Rooms, WiFi, Gym, Study Area, Laundry, Mess, Non-AC Rooms","Daily Housekeeping, Study Table & Chair",https://picsum.photos/300/300; https://picsum.photos/300/300; https://picsum.photos/300/300
2,"233 Broadway, New York, NY 10279, USA","233 Broadway, New York, NY 10279, USA",40.712776,-74.008975,Co-ed,Dormitory,3811,8,"Power Backup, 24/7 Security, CCTV Security, AC Rooms, WiFi, Gym, Study Area, Laundry, Mess, Non-AC Rooms","Daily Housekeeping, Study Table & Chair",https://picsum.photos/300/300; https://picsum.photos/300/300; https://picsum.photos/300/300
3,"30 Rockefeller Plaza, New York, NY 10112, USA","30 Rockefeller Plaza, New York, NY 10112, USA",40.75874,-73.978674,Boys,Single,14228,2,"Gym, Study Area, Non-AC Rooms, Mess, AC Rooms","Study Table & Chair, Hot Water",https://picsum.photos/300/300; https://picsum.photos/300/300; https://picsum.photos/300/300
3,"30 Rockefeller Plaza, New York, NY 10112, USA","30 Rockefeller Plaza, New York, NY 10112, USA",40.75874,-73.978674,Boys,Double,8735,5,"Gym, Study Area, Non-AC Rooms, Mess, AC Rooms","Study Table & Chair, Hot Water",https://picsum.photos/300/300; https://picsum.photos/300/300; https://picsum.photos/300/300
3,"30 Rockefeller Plaza, New York, NY 10112, USA","30 Rockefeller Plaza, New York, NY 10112, USA",40.75874,-73.978674,Boys,Triple,4209,6,"Gym, Study Area, Non-AC Rooms, Mess, AC Rooms","Study Table & Chair, Hot Water",https://picsum.photos/300/300; https://picsum.photos/300/300; https://picsum.photos/300/300
3,"30 Rockefeller Plaza, New York, NY 10112, USA","30 Rockefeller Plaza, New York, NY 10112, USA",40.75874,-73.978674,Boys,Dormitory,3919,5,"Gym, Study Area, Non-AC Rooms, Mess, AC Rooms","Study Table & Chair, Hot Water",https://picsum.photos/300/300; https://picsum.photos/300/300; https://picsum.photos/300/300
4,"11 Wall St, New York, NY 10005, USA","11 Wall St, New York, NY 10005, USA",40.707493,-74.011276,Co-ed,Single,13375,1,"24/7 Security, Power Backup, WiFi, Laundry, AC Rooms, Non-AC Rooms, Parking, Study Area",,https://picsum.photos/300/300; https://picsum.photos/300/300; https://picsum.photos/300/300
4,"11 Wall St, New York, NY 10005, USA","11 Wall St, New York, NY 10005, USA",40.707493,-74.011276,Co-ed,Double,8843,7,"24/7 Security, Power Backup, WiFi, Laundry, AC Rooms, Non-AC Rooms, Parking, Study Area",,https://picsum.photos/300/300; https://picsum.photos/300/300; https://picsum.photos/300/300
4,"11 Wall St, New York, NY 10005, USA","11 Wall St, New York, NY 10005, USA",40.707493,-74.011276,Co-ed,Triple,5985,2,"24/7 Security, Power Backup, WiFi, Laundry, AC Rooms, Non-AC Rooms, Parking, Study Area",,https://picsum.photos/300/300; https://picsum.photos/300/300; https://picsum.photos/300/300
4,"11 Wall St, New York, NY 10005, USA","11 Wall St, New York, NY 10005, USA",40.707493,-74.011276,Co-ed,Dormitory,5639,3,"24/7 Security, Power Backup, WiFi, Laundry, AC Rooms, Non-AC Rooms, Parking, Study Area",,https://picsum.photos/300/300; https://picsum.photos/300/300; https://picsum.photos/300/300
5,"11 Wall St, New York, NY 10005, USA","11 Wall St, New York, NY 10005, USA",40.707493,-74.011276,Co-ed,Single,8476,3,"Power Backup, Study Area, Gym, CCTV Security, Laundry, 24/7 Security, Non-AC Rooms, AC Rooms","Study Table & Chair, Hot Water",https://picsum.photos/300/300; https://picsum.photos/300/300; https://picsum.photos/300/300
5,"11 Wall St, New York, NY 10005, USA","11 Wall St, New York, NY 10005, USA",40.707493,-74.011276,Co-ed,Double,9937,6,"Power Backup, Study Area, Gym, CCTV Security, Laundry, 24/7 Security, Non-AC Rooms, AC Rooms","Study Table & Chair, Hot Water",https://picsum.photos/300/300; https://picsum.photos/300/300; https://picsum.photos/300/300
